time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2024-04-20 15:24:31.857 UTC, , , , , , , , , ,125,3161533,15544,136, ,3, ,12, , , , , , , , , ,3,3, , , , ,1,3, , , , , , , , , , , ,1, , , ,3161533,1377,1,744,744,1, ,2,4,1427,3236937528,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1713626671370,,, , , , , , , , , ,3145728,1377,3,3,1,3, , , ,5,4,3,6, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , ,3,483,9,584,179149304,6, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-04-20 15:24:32.181 UTC, , , , , , , , , ,125,3164445,18592, , ,4, ,12, , , , , , , , , ,4,4, , , , ,1,5, ,1, , , , , , , , , ,1, , , ,3164445,1377,1,744,744, , , , ,1427,3236937528,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1713626671370,,, , , , , , , , , ,3145728,2387,7,7,1,7, , , ,8,9,2,8, ,3,9, , , , , , , , , , ,4096,2,987,9, , , , , , , , ,196210048,6, , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, ,8,4,1, , , , , , , , , , 
2024-04-20 15:24:32.407 UTC, , , , , , , , , ,125,3160589,14736, , ,3,1,25,3,0.12, , , , , , , ,3,3, ,2,1,2,1,4, ,23,12, , , , , , , , ,1, , , ,3160589,3729,2, ,2484, , , , ,3776,3236880184,39,39,39,39, , , , , ,1,48, , , , , , , , , , , , , , , , , , , , , , , , , ,3776,1713626672266,,, , , , , , , , , ,3145728,3729, , , , , , ,21, , ,2, , ,3, , ,21, ,2048,1, , , , , ,103085,32, , , , , , ,3,483,9,584,208952224,6, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-04-20 15:25:32.409 UTC, , , , , , , , , ,1469,3378621,230752,672, ,40, ,8000,1,0.00, , , , , , , ,40,8, , , ,24,6,11, ,5304,2, , , , , , , , ,1, , , ,3378621,3729,2, ,2484, , , , ,295135,3235884856,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,295135,1713626672266,,, , , , , , , , , ,3145728,295105,5,9,1,12, ,366,4,218,204,3,218, ,3,207, ,4,1, , , , , , , ,10368,7,291359,202, , , ,2,1,258,2,123,384130872,4, , , , , , ,19001, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,228, ,3197, ,16172,3697,495,58, , , , , , , , , 
2024-04-20 15:26:32.412 UTC, , , , , , , , , ,1469,3378621,230752,672, ,40, ,12, , , , , , , , , ,40,8, , , ,24,6,11, , , , , , , , , , , ,1, , , ,3378621,3729,2, ,2484, , , , ,295135,3235815224,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,295135,1713626672266,,, , , , , , , , , ,3145728,295105,0,0,0,0, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,384999488,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2024-04-20 15:27:32.414 UTC, , , , , , , , , ,1469,3378621,230752,672, ,40, ,12, , , , , , , , , ,40,8, , , ,24,6,11, , , , , , , , , , , ,1, , , ,3378621,3729,2, ,2484, , , , ,295135,3235659576,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,295135,1713626672266,,, , , , , , , , , ,3145728,295105,0,0,0,0, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,386585176,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2024-04-20 15:28:32.416 UTC, , , , , , , , , ,1469,3378621,230752,672, ,40, ,12, , , , , , , , , ,40,8, , , ,24,6,11, , , , , , , , , , , ,1, , , ,3378621,3729,2, ,2484, , , , ,295135,3235573560,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,295135,1713626672266,,, , , , , , , , , ,3145728,295105,0,0,0,0, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,389238544,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2024-04-20 15:29:32.418 UTC, , , , , , , , , ,1469,3378621,230752,672, ,40, ,12, , , , , , , , , ,40,8, , , ,24,6,11, , , , , , , , , , , ,1, , , ,3378621,3729,2, ,2484, , , , ,295135,3235589944,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,295135,1713626672266,,, , , , , , , , , ,3145728,295105,0,0,0,0, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,390920504,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2024-04-20 15:30:32.420 UTC, , , , , , , , , ,1469,3378621,230752,672, ,40, ,12, , , , , , , , , ,40,8, , , ,24,6,11, , , , , , , , , , , ,1, , , ,3378621,3729,2, ,2484, , , , ,295135,3234213688,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,295135,1713626672266,,, , , , , , , , , ,3145728,295105,0,0,0,0, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,391308016,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2024-04-20 15:31:32.422 UTC, , , , , , , , , ,1469,3378621,230752,672, ,40, ,12, , , , , , , , , ,40,8, , , ,24,6,11, , , , , , , , , , , ,1, , , ,3378621,3729,2, ,2484, , , , ,295135,3234201400,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,295135,1713626672266,,, , , , , , , , , ,3145728,295105,0,0,0,0, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,391695552, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
